SITE_ID,PATCH,PLOT,SECTION,Area_m2,Perimeter_m,P1A,P2A,IsoperimetricInequality(Q),CarbonPool,MgC/Ha,AG(MgC/Ha),BG(MgC/Ha),Soil(MgC/Ha)
FLS,1,1,Edge,1535.65,455.15,0.296389151,134.9015222,0.093152178,AG,3.985216667,3.985216667,6.098306064,264.3995088
FLS,1,2,Edge,1535.65,455.15,0.296389151,134.9015222,0.093152178,AG,2.332736111,2.332736111,23.78447225,242.8830502
FLS,1,3,Edge,1535.65,455.15,0.296389151,134.9015222,0.093152178,AG,3.4152,3.4152,16.36843118,219.7713713
FLS,1,1,Inner,1535.65,455.15,0.296389151,134.9015222,0.093152178,AG,1.630866667,1.630866667,13.65088226,265.1748658
FLS,1,2,Inner,1535.65,455.15,0.296389151,134.9015222,0.093152178,AG,1.933144444,1.933144444,36.15708053,325.352636
FLS,1,3,Inner,1535.65,455.15,0.296389151,134.9015222,0.093152178,AG,6.191466667,6.191466667,21.04956047,281.0721694
FLS,2,1,Edge,4407.63,744.6,0.168934325,125.7884986,0.099900792,AG,5.005433333,5.005433333,20.43239012,204.913409
FLS,2,2,Edge,4407.63,744.6,0.168934325,125.7884986,0.099900792,AG,2.893092593,2.893092593,41.67083734,211.0653621
FLS,2,3,Edge,4407.63,744.6,0.168934325,125.7884986,0.099900792,AG,3.582281481,3.582281481,20.87540584,248.5151287
FLS,2,1,Inner,4407.63,744.6,0.168934325,125.7884986,0.099900792,AG,4.469966667,4.469966667,28.8661309,214.4822995
FLS,2,2,Inner,4407.63,744.6,0.168934325,125.7884986,0.099900792,AG,3.970737037,3.970737037,31.71350658,206.085189
FLS,2,3,Inner,4407.63,744.6,0.168934325,125.7884986,0.099900792,AG,2.361809259,2.361809259,19.07795637,206.2011656
FLS,3,1,Edge,1917.08,496.73,0.259107601,128.7065187,0.097635852,AG,1.714666667,1.714666667,32.64728585,329.0313656
FLS,3,2,Edge,1917.08,496.73,0.259107601,128.7065187,0.097635852,AG,4.290207937,4.290207937,23.80104588,270.8317517
FLS,3,3,Edge,1917.08,496.73,0.259107601,128.7065187,0.097635852,AG,3.624883333,3.624883333,36.69980109,285.0711697
FLS,3,1,Inner,1917.08,496.73,0.259107601,128.7065187,0.097635852,AG,9.013616667,9.013616667,25.44604427,336.0214399
FLS,3,2,Inner,1917.08,496.73,0.259107601,128.7065187,0.097635852,AG,7.654966667,7.654966667,18.62823227,313.013701
FLS,3,3,Inner,1917.08,496.73,0.259107601,128.7065187,0.097635852,AG,10.43696481,10.43696481,31.60551492,303.7099319
GNP,1,1,Edge,2654.49,612.77,0.230842836,141.4535647,0.088837426,AG,10.72395,10.72395,16.79105871,170.7285851
GNP,1,2,Edge,2654.49,612.77,0.230842836,141.4535647,0.088837426,AG,4.294533333,4.294533333,25.61756817,175.4640905
GNP,1,3,Edge,2654.49,612.77,0.230842836,141.4535647,0.088837426,AG,6.6691,6.6691,30.81760988,176.4578861
GNP,1,1,Inner,2654.49,612.77,0.230842836,141.4535647,0.088837426,AG,0.361916667,0.361916667,21.98794354,170.4883642
GNP,1,2,Inner,2654.49,612.77,0.230842836,141.4535647,0.088837426,AG,1.135233333,1.135233333,26.93306705,138.951688
GNP,1,3,Inner,2654.49,612.77,0.230842836,141.4535647,0.088837426,AG,1.008,1.008,24.74140199,177.6169234
GNP,2,1,Edge,14652.67,1403.38,0.095776401,134.4106859,0.093492348,AG,3.63035,3.63035,8.983432788,448.4879252
GNP,2,2,Edge,14652.67,1403.38,0.095776401,134.4106859,0.093492348,AG,3.149316667,3.149316667,37.65462624,177.778349
GNP,2,3,Edge,14652.67,1403.38,0.095776401,134.4106859,0.093492348,AG,4.57455,4.57455,17.17133141,219.3008159
GNP,2,1,Inner,14652.67,1403.38,0.095776401,134.4106859,0.093492348,AG,4.40485,4.40485,15.74284248,132.5168884
GNP,2,2,Inner,14652.67,1403.38,0.095776401,134.4106859,0.093492348,AG,5.910933333,5.910933333,20.21601219,202.0982737
GNP,2,3,Inner,14652.67,1403.38,0.095776401,134.4106859,0.093492348,AG,3.978883333,3.978883333,17.4896503,156.986414
GNP,3,1,Edge,3676.29,548.02,0.149068762,81.69266309,0.15382496,AG,3.275916667,3.275916667,24.59026628,145.4702315
GNP,3,2,Edge,3676.29,548.02,0.149068762,81.69266309,0.15382496,AG,5.8445,5.8445,57.50601861,166.8263583
GNP,3,3,Edge,3676.29,548.02,0.149068762,81.69266309,0.15382496,AG,2.262666667,2.262666667,15.24681745,148.6194427
GNP,3,1,Inner,3676.29,548.02,0.149068762,81.69266309,0.15382496,AG,1.127066667,1.127066667,24.2014437,122.4249679
GNP,3,2,Inner,3676.29,548.02,0.149068762,81.69266309,0.15382496,AG,3.42277037,3.42277037,13.44897337,152.8478869
GNP,3,3,Inner,3676.29,548.02,0.149068762,81.69266309,0.15382496,AG,6.3562,6.3562,8.753901187,117.5920211
MAC,1,1,Edge,757.17,219.36,0.289710369,63.55086652,0.197737203,AG,1.012945238,1.012945238,20.35333654,138.6173962
MAC,1,2,Edge,757.17,219.36,0.289710369,63.55086652,0.197737203,AG,1.27782381,1.27782381,36.74741739,177.0517218
MAC,1,3,Edge,757.17,219.36,0.289710369,63.55086652,0.197737203,AG,0.770233333,0.770233333,10.77825152,196.2244445
MAC,1,1,Inner,757.17,219.36,0.289710369,63.55086652,0.197737203,AG,1.837783333,1.837783333,23.32974976,307.7504606
MAC,1,2,Inner,757.17,219.36,0.289710369,63.55086652,0.197737203,AG,1.692280952,1.692280952,27.88065768,237.070937
MAC,1,3,Inner,757.17,219.36,0.289710369,63.55086652,0.197737203,AG,3.564216667,3.564216667,12.87744626,259.8814676
MAC,2,1,Edge,5183.96,692.45,0.133575491,92.49434843,0.135860956,AG,1.393333333,1.393333333,5.845360924,152.5332627
MAC,2,2,Edge,5183.96,692.45,0.133575491,92.49434843,0.135860956,AG,0.45595,0.45595,2.301892846,119.6185627
MAC,2,3,Edge,5183.96,692.45,0.133575491,92.49434843,0.135860956,AG,0.634222222,0.634222222,18.85697466,178.4933253
MAC,2,1,Inner,5183.96,692.45,0.133575491,92.49434843,0.135860956,AG,1.5867,1.5867,20.94893487,143.5115137
MAC,2,2,Inner,5183.96,692.45,0.133575491,92.49434843,0.135860956,AG,1.118933333,1.118933333,12.23291627,169.5116355
MAC,2,3,Inner,5183.96,692.45,0.133575491,92.49434843,0.135860956,AG,2.75435,2.75435,6.979339108,186.7702649
MAC,3,1,Edge,15579.14,1297.46,0.083281876,108.0549024,0.116296164,AG,1.870716667,1.870716667,16.70805903,74.6737263
MAC,3,2,Edge,15579.14,1297.46,0.083281876,108.0549024,0.116296164,AG,0.322616667,0.322616667,3.308280398,107.3604009
MAC,3,3,Edge,15579.14,1297.46,0.083281876,108.0549024,0.116296164,AG,0.452333333,0.452333333,21.7801155,192.847586
MAC,3,1,Inner,15579.14,1297.46,0.083281876,108.0549024,0.116296164,AG,5.712016667,5.712016667,12.63252486,98.91507788
MAC,3,2,Inner,15579.14,1297.46,0.083281876,108.0549024,0.116296164,AG,0.706533333,0.706533333,35.48427013,105.0597142
MAC,3,3,Inner,15579.14,1297.46,0.083281876,108.0549024,0.116296164,AG,1.915266667,1.915266667,39.23911774,192.0122783
RGI,1,1,Edge,1203.25,222.61,0.185007272,41.18446881,0.305124018,AG,4.18615,4.18615,9.668476099,152.0969989
